strategy,length_km,buffer_hours,storage_cost_2023_usd_per_kg,annual_delivered_kg,required_buffer_kg,diameter_in,stations,segment_length_km,q_bar_a,draft_inlet_bar_a,pressure_swing_bar,raw_linepack_kg,credited_linepack_kg,external_storage_kg,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,compressor_capex_2018_usd,full_year_energy_kwh,pipeline_capex_2023_usd,compressor_capex_2023_usd,storage_capex_2023_usd,pipeline_lcot_2023_usd_per_kg,compressor_lcot_2023_usd_per_kg,electricity_lcot_2023_usd_per_kg,storage_lcot_2023_usd_per_kg,lcot_2023_usd_per_kg,annual_cost_2023_usd,service_closure_kg,infrastructure_response,uses_linepack,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg,delta_joint_vs_external_storage_only_2023_usd_per_kg,joint_saving_vs_external_storage_only_percent
External storage only,400.0,36.0,100.0,500000000.0,2054794.520547945,24.0,0,400.0,,,0.0,0.0,0.0,2054794.520547945,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,205479452.0547945,0.08033920652977157,0.008101605864454974,0.063213201801047,0.0410958904109589,0.1927499046062324,96374952.3031162,0.0,Transport assets retained,False,0.001980006859014505,0.0,0.001980006859014505,1.0272414209799214
Linepack without redesign,400.0,36.0,100.0,500000000.0,2054794.520547945,24.0,0,400.0,21.01325,62.934121301415985,10.600025809436069,99000.3429507274,99000.3429507274,1955794.1775972177,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,195579417.7597218,0.08033920652977157,0.008101605864454974,0.063213201801047,0.03911588355194436,0.1907698977472179,95384948.87360895,0.0,Transport assets retained,True,0.001980006859014505,0.0,0.001980006859014505,1.0272414209799214
Joint design,400.0,36.0,100.0,500000000.0,2054794.520547945,24.0,0,400.0,21.01325,62.934121301415985,10.600025809436069,99000.3429507274,99000.3429507274,1955794.1775972177,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,195579417.7597218,0.08033920652977157,0.008101605864454974,0.063213201801047,0.03911588355194436,0.1907698977472179,95384948.87360895,0.0,Transport assets retained,True,0.001980006859014505,0.0,0.001980006859014505,1.0272414209799214
External storage only,400.0,48.0,100.0,500000000.0,2739726.02739726,24.0,0,400.0,,,0.0,0.0,0.0,2739726.02739726,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,273972602.739726,0.08033920652977157,0.008101605864454974,0.063213201801047,0.0547945205479452,0.20644853474321873,103224267.37160936,0.0,Transport assets retained,False,0.0019800068590145603,0.0,0.0019800068590145603,0.95908012206398
Linepack without redesign,400.0,48.0,100.0,500000000.0,2739726.02739726,24.0,0,400.0,21.01325,62.934121301415985,10.600025809436069,99000.3429507274,99000.3429507274,2640725.6844465327,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,264072568.44465327,0.08033920652977157,0.008101605864454974,0.063213201801047,0.05281451368893066,0.20446852788420417,102234263.94210209,0.0,Transport assets retained,True,0.0019800068590145603,0.0,0.0019800068590145603,0.95908012206398
Joint design,400.0,48.0,100.0,500000000.0,2739726.02739726,24.0,0,400.0,21.01325,62.934121301415985,10.600025809436069,99000.3429507274,99000.3429507274,2640725.6844465327,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,264072568.44465327,0.08033920652977157,0.008101605864454974,0.063213201801047,0.05281451368893066,0.20446852788420417,102234263.94210209,0.0,Transport assets retained,True,0.0019800068590145603,0.0,0.0019800068590145603,0.95908012206398
External storage only,400.0,72.0,100.0,500000000.0,4109589.04109589,24.0,0,400.0,,,0.0,0.0,0.0,4109589.04109589,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,410958904.109589,0.08033920652977157,0.008101605864454974,0.063213201801047,0.0821917808219178,0.23384579501719133,116922897.50859566,0.0,Transport assets retained,False,0.0019800068590145603,0.0,0.0019800068590145603,0.8467147587019894
Linepack without redesign,400.0,72.0,100.0,500000000.0,4109589.04109589,24.0,0,400.0,21.01325,62.934121301415985,10.600025809436069,99000.3429507274,99000.3429507274,4010588.698145163,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,401058869.8145163,0.08033920652977157,0.008101605864454974,0.063213201801047,0.08021177396290326,0.23186578815817677,115932894.07908839,0.0,Transport assets retained,True,0.0019800068590145603,0.0,0.0019800068590145603,0.8467147587019894
Joint design,400.0,72.0,100.0,500000000.0,4109589.04109589,24.0,0,400.0,21.01325,62.934121301415985,10.600025809436069,99000.3429507274,99000.3429507274,4010588.698145163,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,401058869.8145163,0.08033920652977157,0.008101605864454974,0.063213201801047,0.08021177396290326,0.23186578815817677,115932894.07908839,0.0,Transport assets retained,True,0.0019800068590145603,0.0,0.0019800068590145603,0.8467147587019894
External storage only,800.0,0.0,100.0,500000000.0,0.0,30.0,0,800.0,,,0.0,0.0,0.0,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,0.0,0.18397031651327486,0.008101605864454974,0.063213201801047,0.0,0.25528512417877686,127642562.08938842,0.0,Transport assets retained,False,0.0,0.0,0.0,0.0
