annual_delivered_kg,length_km,diameter_in,stations,segment_length_km,pack_outlet_bar_a,pack_average_bar_a,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,pipeline_capex_2018_usd,compressor_capex_2018_usd,full_year_energy_kwh,transport_lcot_2023_usd_per_kg,transport_selected
500000000.0,800.0,24.0,15,50.0,67.75174638927159,69.39527447837632,2,19817.671124984532,1,732.6809994655229,503335499.66757095,39631601.71367353,469351447.6254508,0.26735907313159446,False
500000000.0,800.0,30.0,0,800.0,52.17033504980515,62.072180453857975,2,19817.671124984532,0,0.0,605533402.6914592,19857823.53684561,301917911.39976436,0.25528512417877686,True
500000000.0,800.0,30.0,1,400.0,62.30820786530226,66.75545956813944,2,19817.671124984532,1,2045.9542541333858,605533402.6914592,22925557.98404336,333087579.68882257,0.26306276060048683,False
500000000.0,800.0,30.0,2,266.6666666666667,65.33887870258648,68.21542138215058,2,19817.671124984532,1,1298.161843289276,605533402.6914592,24078177.102003373,341472338.3465959,0.26528854172315536,False
500000000.0,800.0,30.0,3,200.0,66.80267375991852,68.92940225708179,2,19817.671124984532,1,952.1279911033823,605533402.6914592,24763557.9840559,345434300.2801067,0.26639768827825644,False
500000000.0,800.0,30.0,4,160.0,67.66575287611737,69.35296867385983,2,19817.671124984532,1,752.4112766514037,605533402.6914592,25247346.68752343,347769200.32822555,0.26708392770168893,False
500000000.0,800.0,30.0,5,133.33333333333334,68.23507435942973,69.63340018422377,2,19817.671124984532,1,622.3391563837284,605533402.6914592,25621016.830250245,349323920.1816901,0.26756189288998716,False
500000000.0,800.0,30.0,6,114.28571428571429,68.63884147434717,69.83277414320398,2,19817.671124984532,1,530.8621051326143,605533402.6914592,25925949.519315735,350443324.0011039,0.26792067148044696,False
500000000.0,800.0,30.0,7,100.0,68.94011494419127,69.98180071149544,2,19817.671124984532,1,463.0057114457637,605533402.6914592,26184107.489155658,351294450.92298913,0.2682041971845578,False
500000000.0,800.0,30.0,8,88.88888888888889,69.17353159804289,70.09741467316964,2,19817.671124984532,1,410.65760844397147,605533402.6914592,26408453.27785931,351968146.5297705,0.2684367790005818,False
500000000.0,800.0,30.0,9,80.0,69.35969935003426,70.18972106230738,2,19817.671124984532,1,369.04006021009855,605533402.6914592,26607241.811354242,352518117.2205716,0.2686330294019553,False
500000000.0,800.0,30.0,10,72.72727272727273,69.51164756213943,70.26512305198834,2,19817.671124984532,1,335.1559020259521,605533402.6914592,26786039.57465879,352978184.47363114,0.2688023006818913,False
500000000.0,800.0,30.0,11,66.66666666666667,69.63801780780167,70.32787498286129,2,19817.671124984532,1,307.0295898099034,605533402.6914592,26948771.460600197,353370731.006864,0.26895088043808363,False
500000000.0,800.0,30.0,12,61.53846153846154,69.7447676371932,70.38091403571043,2,19817.671124984532,1,283.30599868663234,605533402.6914592,27098305.679095335,353711175.0205275,0.2690831669861207,False
500000000.0,800.0,30.0,13,57.142857142857146,69.83613761693533,70.42633337725984,2,19817.671124984532,1,263.02454436330606,605533402.6914592,27236800.5884636,354010494.2034049,0.2692023393165139,False
500000000.0,800.0,30.0,14,53.333333333333336,69.91522834456211,70.46566501557609,2,19817.671124984532,1,245.48530332165925,605533402.6914592,27365920.566803113,354276724.61605704,0.2693107589904289,False
500000000.0,800.0,30.0,15,50.0,69.9843594100882,70.50005604522664,2,19817.671124984532,1,230.1661913127627,605533402.6914592,27486975.896051835,354515889.72758526,0.2694102217240852,False
500000000.0,800.0,36.0,0,800.0,64.19794108567348,67.66284972328428,2,19817.671124984532,0,0.0,780104435.6408519,19857823.53684561,301917911.39976436,0.30832247611180186,False
500000000.0,800.0,36.0,1,400.0,67.69142233400811,69.36559520009548,2,19817.671124984532,1,746.5185517370645,780104435.6408519,21196518.92458484,313290959.2488369,0.3112498372627833,False
500000000.0,800.0,36.0,2,266.6666666666667,68.81651689036241,69.92063524427023,2,19817.671124984532,1,490.8036063851904,780104435.6408519,21754125.461009588,316872483.89344877,0.3122272013968887,False
500000000.0,800.0,36.0,3,200.0,69.37222186568465,70.19593305063248,2,19817.671124984532,1,366.2447824898623,780104435.6408519,22093603.9083248,318656890.3281706,0.3127393070113372,False
