annual_delivery_mt_per_year,length_km,buffer_hours,storage_cost_2023_usd_per_kg,transport_diameter_in,transport_stations,joint_design_diameter_in,joint_design_stations,joint_design_infrastructure_response,external_storage_only_lcot_2023_usd_per_kg,linepack_without_redesign_lcot_2023_usd_per_kg,joint_design_lcot_2023_usd_per_kg,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg
0.25,400.0,48.0,600.0,20.0,0,42.0,0,Diameter change,0.5365459227806293,0.5007272010202555,0.34413985354297805,0.03581872176037382,0.15658734747727743
0.25,400.0,72.0,600.0,20.0,0,42.0,5,Diameter change,0.7009294844244649,0.6651107626640911,0.49847990457769215,0.03581872176037382,0.16663085808639894
0.25,800.0,0.0,600.0,20.0,1,20.0,1,Transport assets retained,0.3487586820458494,0.3487586820458494,0.3487586820458494,0.0,0.0
0.25,800.0,6.0,600.0,20.0,1,20.0,1,Compressor resize,0.3898545724568083,0.3870909382296595,0.36104318691353754,0.0027636342271488146,0.02604775131612197
0.25,800.0,12.0,600.0,20.0,1,24.0,0,Diameter change,0.4309504628677672,0.4281868286406184,0.3789240983799277,0.0027636342271488146,0.049262730260690724
0.25,800.0,24.0,600.0,20.0,1,24.0,1,Diameter change,0.5131422436896851,0.5103786094625362,0.40930247977036405,0.00276363422714887,0.10107612969217217
0.25,800.0,36.0,600.0,20.0,1,30.0,0,Diameter change,0.5953340245116029,0.592570390284454,0.441022672901927,0.00276363422714887,0.15154771738252704
0.25,800.0,48.0,600.0,20.0,1,30.0,2,Diameter change,0.6775258053335207,0.6747621711063719,0.4625189815234729,0.002763634227148759,0.212243189582899
0.25,800.0,72.0,600.0,20.0,1,36.0,2,Diameter change,0.8419093669773563,0.8391457327502074,0.5578855742163114,0.00276363422714887,0.2812601585338961
0.25,1200.0,0.0,600.0,20.0,1,20.0,1,Transport assets retained,0.4848022939756548,0.4848022939756548,0.4848022939756548,0.0,0.0
0.25,1200.0,6.0,600.0,20.0,1,20.0,3,Station-count change,0.5258981843866136,0.5221315886600084,0.4988832130899583,0.003766595726605204,0.023248375570050106
0.25,1200.0,12.0,600.0,20.0,1,24.0,0,Diameter change,0.5669940747975726,0.5632274790709673,0.5191686590562341,0.003766595726605315,0.04405882001473316
0.25,1200.0,24.0,600.0,20.0,1,24.0,1,Diameter change,0.6491858556194904,0.6454192598928851,0.5441472440674646,0.003766595726605315,0.10127201582542045
0.25,1200.0,36.0,600.0,20.0,1,24.0,2,Diameter change,0.7313776364414082,0.727611040714803,0.5799254216379504,0.003766595726605204,0.14768561907685263
0.25,1200.0,48.0,600.0,20.0,1,30.0,0,Diameter change,0.8135694172633259,0.8098028215367208,0.6091186597847285,0.003766595726605093,0.20068416175199233
0.25,1200.0,72.0,600.0,20.0,1,30.0,3,Diameter change,0.9779529789071617,0.9741863831805563,0.6470858986085701,0.003766595726605426,0.32710048457198615
0.25,1600.0,0.0,600.0,20.0,5,20.0,5,Transport assets retained,0.61948750671843,0.61948750671843,0.61948750671843,0.0,0.0
0.25,1600.0,6.0,600.0,20.0,5,20.0,7,Station-count change,0.660583397129389,0.6547564919775818,0.6305967190186503,0.005826905151807171,0.024159772958931458
0.25,1600.0,12.0,600.0,20.0,5,20.0,11,Station-count change,0.7016792875403478,0.6958523823885407,0.6475638678928373,0.00582690515180706,0.04828851449570348
0.25,1600.0,24.0,600.0,20.0,5,24.0,1,Diameter change,0.7838710683622656,0.7780441632104586,0.6841958677548523,0.00582690515180706,0.09384829545560625
0.25,1600.0,36.0,600.0,20.0,5,24.0,1,Diameter change,0.8660628491841835,0.8602359440323762,0.7025700256295978,0.005826905151807282,0.15766591840277844
0.25,1600.0,48.0,600.0,20.0,5,24.0,5,Diameter change,0.9482546300061012,0.942427724854294,0.745795642135581,0.005826905151807171,0.19663208271871302
0.25,1600.0,72.0,600.0,20.0,5,30.0,0,Diameter change,1.1126381916499368,1.1068112864981299,0.777434186727673,0.005826905151806949,0.3293770997704569
0.25,2000.0,0.0,600.0,20.0,10,20.0,10,Transport assets retained,0.749478009950483,0.749478009950483,0.749478009950483,0.0,0.0
0.25,2000.0,6.0,600.0,20.0,10,20.0,13,Station-count change,0.7905739003614418,0.7830659640434829,0.7595361765328089,0.007507936317958874,0.023529787510674027
0.25,2000.0,12.0,600.0,20.0,10,20.0,16,Station-count change,0.8316697907724008,0.8241618544544419,0.7748049101915171,0.007507936317958874,0.04935694426292481
0.25,2000.0,24.0,600.0,20.0,10,20.0,26,Station-count change,0.9138615715943186,0.9063536352763597,0.8207486099561974,0.007507936317958874,0.08560502532016234
0.25,2000.0,36.0,600.0,20.0,10,24.0,1,Diameter change,0.9960533524162364,0.9885454160982774,0.8402148869687426,0.007507936317958985,0.14833052912953482
0.25,2000.0,48.0,600.0,20.0,10,24.0,4,Diameter change,1.0782451332381542,1.0707371969201953,0.8674351256005576,0.007507936317958874,0.20330207131963773
0.25,2000.0,72.0,600.0,20.0,10,30.0,0,Diameter change,1.24262869488199,1.235120758564031,0.9350282491711445,0.007507936317959096,0.30009250939288645
0.5,400.0,0.0,200.0,24.0,0,24.0,0,Transport assets retained,0.15165401419527352,0.15165401419527352,0.15165401419527352,0.0,0.0
0.5,400.0,6.0,200.0,24.0,0,24.0,0,Transport assets retained,0.16535264433225982,0.16139263061423073,0.16139263061423073,0.003960013718029093,0.0
0.5,400.0,12.0,200.0,24.0,0,30.0,0,Diameter change,0.17905127446924612,0.175091260751217,0.17483332000316312,0.003960013718029121,0.0002579407480538809
0.5,400.0,24.0,200.0,24.0,0,30.0,0,Diameter change,0.20644853474321873,0.20248852102518963,0.20223058027713572,0.003960013718029093,0.00025794074805390865
0.5,400.0,36.0,200.0,24.0,0,30.0,0,Diameter change,0.23384579501719133,0.22988578129916223,0.22962784055110833,0.003960013718029093,0.00025794074805390865
0.5,400.0,48.0,200.0,24.0,0,30.0,0,Diameter change,0.26124305529116393,0.25728304157313486,0.25702510082508095,0.003960013718029065,0.00025794074805390865
0.5,400.0,72.0,200.0,24.0,0,30.0,0,Diameter change,0.31603757583910913,0.31207756212108007,0.31181962137302616,0.003960013718029065,0.00025794074805390865
