strategy,length_km,buffer_hours,storage_cost_2023_usd_per_kg,annual_delivered_kg,required_buffer_kg,diameter_in,stations,segment_length_km,q_bar_a,draft_inlet_bar_a,pressure_swing_bar,raw_linepack_kg,credited_linepack_kg,external_storage_kg,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,compressor_capex_2018_usd,full_year_energy_kwh,pipeline_capex_2023_usd,compressor_capex_2023_usd,storage_capex_2023_usd,pipeline_lcot_2023_usd_per_kg,compressor_lcot_2023_usd_per_kg,electricity_lcot_2023_usd_per_kg,storage_lcot_2023_usd_per_kg,lcot_2023_usd_per_kg,annual_cost_2023_usd,service_closure_kg,infrastructure_response,uses_linepack,design_rank,gap_to_best_2023_usd_per_kg
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,12,92.3076923076923,22.42596632697419,23.461967927429107,47.89291444929242,4109589.0411762395,4109589.04109589,0.0,2,19817.671124984532,1,685.6743189320739,34837211.708195895,427271101.6713115,1781237714.5235832,50400372.204785526,0.0,0.37405992004995253,0.01421290496174952,0.089458668578102,0.0,0.477731493589804,238865746.794902,0.0,Diameter change,True,11,0.004297910489430901
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,13,85.71428571428571,22.47611680518318,23.437578535094392,47.8929144560382,4109589.0417550807,4109589.04109589,0.0,2,19817.671124984532,1,636.1434342004171,35114967.6973912,427907501.4636661,1781237714.5235832,50802212.78131646,0.0,0.37405992004995253,0.014326224004331242,0.08959191296997575,0.0,0.4779780570242595,238989028.51212975,0.0,Diameter change,True,12,0.004544473923886405
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,14,80.0,22.519510182376518,23.416439718128384,47.89291443873954,4109589.040270719,4109589.040270719,0.0008251708932220936,2,19817.671124984532,1,593.3385506681236,35373662.59703748,428469285.0587882,1781237714.5235832,51176476.925613195,0.49510253593325615,0.37405992004995253,0.014431766493022923,0.08970953480831693,9.902050718665122e-11,0.47820122145031285,239100610.72515643,0.0,Diameter change,True,13,0.004767638349939762
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,15,75.0,22.557426006204697,23.39794213932754,47.89291445728702,4109589.041862239,4109589.04109589,0.0,2,19817.671124984532,1,555.9751768555523,35615972.31663379,428970325.72814626,1781237714.5235832,51527035.981796734,0.0,0.37405992004995253,0.014530624146866681,0.08981443876978058,0.0,0.4784049829665998,239202491.48329988,0.0,Diameter change,True,14,0.004971399866226689
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,16,70.58823529411765,22.590840016538557,23.381619916176227,47.89291443813702,4109589.0402190187,4109589.0402190187,0.0008768714033067226,2,19817.671124984532,1,523.076448616636,35844040.456441864,429421207.1182126,1781237714.5235832,51856991.181158334,0.5261228419840336,0.37405992004995253,0.014623671513086653,0.08990884077516827,1.0522456839680672e-10,0.478592432443432,239296216.22171602,0.0,Diameter change,True,15,0.0051588493430589355
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,17,66.66666666666667,22.62050905281802,23.367110540046937,47.89291445543976,4109589.04170373,4109589.04109589,0.0,2,19817.671124984532,1,493.88622651575696,36059610.91086085,429830149.40450615,1781237714.5235832,52168865.48470702,0.0,0.37405992004995253,0.014711620066687381,0.08999446190029001,0.0,0.4787660020169299,239383001.00846496,0.0,Diameter change,True,16,0.005332418916556836
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,18,63.1578947368421,22.647029395880363,23.35412791414899,47.89291445168814,4109589.0413818117,4109589.04109589,0.0,2,19817.671124984532,1,467.81006349217364,36264121.24120578,430203634.55010515,1781237714.5235832,52464738.669261664,0.0,0.37405992004995253,0.01479505630473179,0.09007265928768245,0.0,0.4789276356423668,239463817.82118338,0.0,Diameter change,True,17,0.005494052541993699
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,19,60.0,22.670877056543034,23.342443085007726,47.89291444303818,4109589.0406395765,4109589.0406395765,0.0004563136026263237,2,19817.671124984532,1,444.37417466487585,36458770.72567681,430546846.4105851,1781237714.5235832,52746345.77803327,0.2737881615757942,0.37405992004995253,0.014874469509405384,0.09014451829232528,5.475763231515884e-11,0.4790789079064408,239539453.9532204,0.0,Diameter change,True,18,0.00564532480606772
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,20,57.142857142857146,22.692436682480192,23.3318706898388,47.89291445077276,4109589.0413032644,4109589.04109589,0.0,2,19817.671124984532,1,423.1962918202321,36644570.33693212,430863981.53351164,1781237714.5235832,53015149.425156645,0.0,0.37405992004995253,0.014950272137894176,0.09021091755439892,0.0,0.4792211097422456,239610554.87112278,0.0,Diameter change,True,19,0.005787526641872487
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,21,54.54545454545455,22.71202253169126,23.32225910802406,47.89291444303802,4109589.0406395635,4109589.0406395635,0.0004563266411423683,2,19817.671124984532,1,403.96457756960484,36822380.2563801,431158474.33838093,1781237714.5235832,53272394.069100775,0.273795984685421,0.37405992004995253,0.01502281512748642,0.09027257614569234,5.47591969370842e-11,0.47935531137789045,239677655.68894523,0.0,Diameter change,True,20,0.005921728277517357
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,22,52.17391304347826,22.72989377835127,23.313483027700983,47.892914447543646,4109589.041026181,4109589.041026181,6.970902904868126e-05,2,19817.671124984532,1,386.4221186128265,36992938.664786085,431433164.78944075,1781237714.5235832,53519147.66517847,0.041825417429208755,0.37405992004995253,0.01509239964158033,0.09033008867562194,8.365083485841752e-12,0.47948240837551986,239741204.18775994,0.0,Diameter change,True,21,0.006048825275146774
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,23,50.0,22.746266151574858,23.305438050482834,47.892914453465835,4109589.0415343517,4109589.04109589,0.0,2,19817.671124984532,1,370.3553379677542,37156883.78321432,431690421.82366544,1781237714.5235832,53756333.55304896,0.0,0.37405992004995253,0.015159286061959808,0.09038395113361189,0.0,0.47960315724552416,239801578.62276208,0.0,Diameter change,True,22,0.006169574145151069
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,1,600.0,21.01325,27.396468790737547,45.53682310995849,3907417.85866471,3907417.85866471,202171.18243118003,2,19817.671124984532,1,4118.279337126649,25311754.24333143,364659001.8227721,1781237714.5235832,36619516.09978688,121302709.45870802,0.37405992004995253,0.010326703540139901,0.07634943870643526,0.024260541891741604,0.48499660418826923,242498302.09413463,0.0,Diameter change,True,23,0.011563021087896141
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,0,1200.0,21.01325,32.5511340638266,41.52894681903439,3563510.5255453098,3563510.5255453098,546078.5155505803,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1781237714.5235832,28729098.81012402,327647109.3303482,0.37405992004995253,0.008101605864454974,0.063213201801047,0.06552942186606965,0.5109041495815241,255452074.79076207,0.0,Diameter change,True,24,0.03747056648115099
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,6,171.42857142857142,21.01325,25.169145069737173,47.15994545012397,2973081.696685108,2973081.696685108,1136507.3444107822,2,19817.671124984532,1,2770.492849611021,43476756.8604925,555165049.0963821,1645517409.009655,62899543.92389751,681904406.6464694,0.34555865589202756,0.017737671386539103,0.11623609913938071,0.13638088132929388,0.6159133077472413,307956653.8736206,0.0,Diameter change,True,25,0.1424797246468682
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,5,200.0,21.01325,25.796783937885955,46.7094442439589,2944680.966412838,2944680.966412838,1164908.074683052,2,19817.671124984532,1,3158.713660222043,41781988.5231743,542529491.0827652,1645517409.009655,60447655.53176115,698944844.8098313,0.34555865589202756,0.017046238859956646,0.1135905652097093,0.13978896896196624,0.6159844289236597,307992214.46182984,0.0,Diameter change,True,26,0.1425508458232866
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,7,150.0,21.01325,24.687946756344544,47.50161231054768,2994621.235787499,2994621.235787499,1114967.8053083909,2,19817.671124984532,1,2468.1042163911143,44914466.42592417,565125129.7460307,1645517409.009655,64979535.22248612,668980683.1850345,0.34555865589202756,0.018324228932741087,0.11832146262491199,0.1337961366370069,0.6160004840866876,308000242.0433438,0.0,Diameter change,True,27,0.14256690098631453
